;source
254;Chikungunya is a disease transmitted when an Aedes Aegipti or Aedes Albopictus mosquito (the same that transmits dengue) bites a sick person and then bites a healthy person.
255;The mosquito is easily recognized, as it has circular white stripes on the legs.
256;How to prevent Chikungunya
257;Eliminate breeding sites
258;"	Avoid keeping water in containers outside (pots, bottles, containers, etc.) to prevent them from becoming breeding grounds for mosquitoes.Cover water tanks or reservoirs for domestic use to keep mosquitoes out. Avoid accumulating trash, and put it in closed plastic bags and keep trash containers closed. Unclog drains that may leave standing water. The use of a mosquito net/mesh in windows and doors also helps to reduce mosquito contact with people."
259;Take care of myself and my family
260;"	Cover exposed skin with long sleeves, pants and hats.Use repellent as indicated and reapply as suggested.Sleep in places that are protected with mosquito nets."
261;Share this information with my community and family
262;Mosquito breeding sites
263;Chikungunya
264;What to do if you present the signs and symptoms?
265;Visit a health center immediately.
266;It is recommended not to self-medicate yourself.
267;Drink plenty of water.
268;Adults must drink between 2 and 3 liters of water per day and children must drink water continuously, when they feel like it.  People should drink water, coconut water, soup, fruit juices, oral rehydration solution.
269;Control fever
270;Include physical means such as wet wipes on the body at room temperature or baths in the shower or bathtub.
271;Rest
272;Learn More
273;Chikungunya
274;If an adult or child hit them firmly on their back between the shoulder blades 5 times to dislodge the object follwed by 5 quick abdominal thrusts.
275;"  center of chest just below nipple line.For infants under 1 year old:  supporting their head and neck. - Then give 5 back blows between the shoulder blades and 5 chest thrusts - Repeat this until the object is forced out or the infant can be heard to cry."""
276;Call ### for altered level of consciousness, voice changes, if significant maneuvers to clear the airway are required, or if you are concerned.
277;Call ###
278;Learn more
279;You're out in a busy cafÃ©. You notice that a woman on the table next to you has stopped talking, is turning red and clutching her throat. You ask her if she is choking and she nods yes. She is panicking and can't breathe. What do you do next?
280;Choose 1...
281;Hit them firmly on the back.
282;Encourage her to try and breathe through her nose
283;Help her drink some water.
284;Hit her firmly on her back 5 times followed by 5 quick abdominal thrusts.
285;Give her a piece of bread to swallow.
286;Touch where you would give back blows.
287;Select the position on the back
288;Hit them on the back between the shoulder blades.
289;On recovery the woman is grateful and impressed that you knew how to help. She asks you what she should do if her three-year-old daughter ever chokes. You tell her that she should:
290;Choose 1...
291;The approach for children over one year old is the same amount as for adults. Hit them firmly on the back but do not do the Heimlich maneuver or abdominal thrusts.
292;Put her fingers down her throat and try to pull the object out.
293;Hang the child upside down by her feet and shake her a bit.
294;Ask her to jump up and down until the object comes up.
295;Do the same as for an adult: Hit her firmly on her back 5 times followed by 5 quick abdominal thrusts.
296;Good work. You know how to help someone who's choking. Here's your choking achievement!
297;Good effort, but try again.
298;I just earned the Choking badge with the First Aid app!
299;Always call ### or get someone else to do it when someone is choking.
300;Choose a country
301;Reassure the person. Call ### if in doubt or they don't improve, have trouble breathing or lose conciousness.
302;But some people have high blood sugar levels, so won't giving them sugary drinks or food make their diabetic emergency worse?
303;Give them something containing sugar to eat or a non-diet drink.
304;Reassure the person.
305;Most people will gradually improve, but if you are in doubt, the person is breathing fast, pale or sweating, or if they become unconscious call ###.
306;Call ###
307;Learn more
308;Donate
309;Give to Red Cross message - to be completed
310;Donate via text
311;Learn more
312;Drought
313;"The following tips were developed by a coalition of specialists on water conservation in the United States, and are also consistent with the recommendations that were developed through the National Disaster Education Coalition's ""Drought Forum""."
314;Indoor-general
315;Never pour water down the drain when there may be another use for it. Use it to water your indoor plants or garden.
316;Indoor-bathroom
317;Check for toilet leaks by adding food coloring to the tank.
318;If you have a leak, the color will appear in the bowl within 30 minutes. (Flush immediately to avoid stains.)
319;Leaky toilets usually can be fixed inexpensively by replacing the flapper.
320;In the shower, turn the water on to get wet
321;Repeat when washing your hair.
322;Indoor-kitchen
323;"Run your automatic dishwasher only when it's fully loaded, using the ""light wash"" feature, if available."
324;Store drinking water in the refrigerator. Don't let the tap run while you are waiting for water to cool.
325;Defrost food overnight in the refrigerator, or use your microwave's defrost setting. Do not use running water.
326;Do not waste water waiting for it to get hot.
327;Capture it for other uses such as plant watering or heat it on the stove or in a microwave.
328;Garbage disposals require lots of water to operate properly. Throw food in the garbage.
329;Outdoor-general
330;If you have a well at home, check your pump periodically.
331;If the pump turns on and off while water is not being used, you have a leak.
332;Outdoor-lawn care
333;Only water your lawn every 5 to 7 days in the summer, and every 10 to 14 days in the winter. Heavy rain eliminates the need for watering for up to 2 weeks.
334;Most of the year, lawns only need 1 inch of water per week. A rain gauge can help you determine when to water.
335;Avoid sprinklers that spray a fine mist
336;Check sprinkler systems and timing devices regularly.
337;Avoid over-fertilizing your lawn. Fertilizing increases the need for water.
338;Apply fertilizers that contain slow-release, water-insoluble forms of nitrogen.
339;Earthquake
340;Earthquakes can be destructive over a huge area, shaking the ground and causing buildings to collapse. Learn what to do before and during an earthquake.
341;Before checklist
342;Bolt and brace water heaters and gas appliances to wall studs.
343;Bolt bookcases, china cabinets and other tall furniture to wall studs.
344;Hang heavy items, such as pictures and mirrors, away from beds, couches and anywhere people sleep or sit.
345;Brace overhead light fixtures.
346;Install strong latches or bolts on cabinets. Large or heavy items should be closest to the floor.
347;Learn how to shut off the gas valves in your home and keep a wrench handy for that purpose.
348;During- if indoors
349;DROP, cover and hold on. Move as little as possible and watch for falling objects.
350;It is most important to keep your head and torso covered. If you're sitting at a desk or table, get under it. Otherwise drop wherever you are.
351;If you are in bed, stay there, curl up and hold on, protecting your head with a pillow.
352;Stay away from windows to avoid being injured by shattered glass.
353;Stay indoors until the shaking stops and you are sure it is safe to exit.
354;If you must go outside after the shaking stops, use stairs rather than an elevator in case of aftershocks, power outages or other damage.
355;Be aware that fire alarms and sprinkler systems frequently go off in buildings during an earthquake, even if there is no fire.
356;During - if you are outside
357;Find a clear spot and drop to the ground. Stay there until the shaking stops (away from buildings, power lines, trees, streetlights).
358;During - if you are in a vehicle
359;Pull over to a clear location and stop.
360;Avoid bridges, overpasses and power lines if possible.
361;Stay inside with your seatbelt fastened until the shaking stops.
362;Then, drive carefully, avoiding bridges and ramps that may have been damaged.
363;If a power line falls on your vehicle, do not get out. Wait for assistance.
364;If you are in a mountainous area or near unstable slopes or cliffs, be alert for falling rocks and other debris.
365;Landslides are often triggered by earthquakes.
366;After
367;If away from home, return only when authorities say it is safe to do so.
368;Be prepared for aftershocks. If you feel one, drop, cover and hold on.
369;Aftershocks frequently occur minutes, days, weeks and even months following an earthquake.
370;Open cabinets slowly. Beware of objects that can fall off shelves.
371;Stay away from damaged areas in and around your home.
372;Look for and extinguish small fires. Fire is the most common hazard after an earthquake.
373;Check for gas leaks to prevent fires and secondary damage: Spray the fittings on your gas meter and any fittings on gas appliances with a mixture of water and a little liquid dish soap. If it bubbles there is gas present.
374;Use extreme caution and examine walls, floors, doors, staircases and windows to check for damage.
375;Head injuries
376;Ebola
377;Clean your hands immediately after an exposure risk to body fluids to protect yourself.
378;Make sure to follow proper hand washing techniques using soap or alcohol.
379;Seek medical treatment immediately.
380;Call an emergency center now
381;Learn more
382;Ebola
383;FOLLOW THESE STEPS TO REDUCE RISK OF EXPOSURE
384;Ebola is transmitted through physical contact with the bodily fluids (vomit, faeces, urine, blood, semen, etc.) of people who have been infected with or died from Ebola virus disease (EVD).
385;Clean your hands immediately after an exposure risk to body fluids to protect yourself.
386;Make sure to wash your hands after touching any object or furniture in the patient's immediate surroundings, when leaving - even without touching the patient.
387;Make sure to follow proper hand washing techniques using soap or alcohol.
388;1. Wet hands with water. 2. Apply enough soap to cover all hand surfaces. 3. Rub hands palm to palm. 4.  Wash between fingers on both left and right hands. 5. Palm to palm with interlaced fingers. 6. Backs of fingers to opposing palms with fingers interlocked. 7. Rotational rubbing of left thumb clasped in right palm and vice versa. 8.  Rinse hands with water 9. Dry thoroughly with a single use towel. 10. use towel to turn off faucet
389;Seek medical treatment immediately.
390;Call an emergency center now
391;Isolation and professional clinical treatment increase a person's chance of survival.
392;Q&A'S
393;What are the symptoms of Ebola?
394;Fever, weakness, muscle pain, headache and sore throat.
395;How can a person get Ebola?
396;The risk of Ebola transmission is low. Becoming infected requires direct, physical contact with the bodily fluids (vomit, faeces, urine, blood, semen, etc.) of people who have been infected with or died from Ebola virus disease (EVD).
397;When should a person seek medical treatment?
398;Immediately.  To protect yourself, your family, and your community from EVD transmission, immediately report to the nearest health facility if you develop symptoms indicative of EVD, including high fever, body aches, joint pain, vomiting, diarrhoea, or haemorrhaging.
399;Emergency kit
400;A great way to prepare for emergencies is to make a emergency preparedness kit containing essential items you may need if disaster strikes. Keep it somewhere accessible and check it regularly to make sure it's up to date.
401;Some suggested items to get you started...
402;Water-at least a 3Â­-day supply
403;Food-at least a 3Â­-day supply of nonÂ­perishable, easy-Â­toÂ­-prepare food.
404;Flashlight
405;Battery powered or handÂ­crank radio (Weather Radio, if possible)
406;Extra batteries
407;First aid kit
408;Medications (7-Â­day supply) and necessary medical items
409;MultiÂ­purpose tool
410;Sanitation and personal hygiene items
411;Copies of key personal documents
412;Cell phone with chargers
413;Family and emergency contact information
414;Extra cash
415;Emergency blanket
416;Map(s) of the area
417;Baby supplies (bottles, formula, baby food, diapers)
418;Pet supplies (collar, leash, ID, food, carrier, bowl)
419;Tools/supplies for securing your home
420;Extra set of car keys and house keys
421;Extra clothing, hat and sturdy shoes
422;Rain gear
423;Insect repellent and sunscreen
424;Camera for photos of damage
425;Emergency first aid for...
426;Meningitis
427;Poisoning / harmful substances
428;Psychological First Aid
429;Seizure / epilepsy
430;Stings / bites
431;Strains and sprains
432;Stroke
433;Unconscious
434;Everyday emergencies
435;Accidents and emergencies can happen to anyone, anywhere and at any time. From tripping on some stairs to getting burned by the BBQ, be prepared for all those everyday emergencies.
436;Before checklist
437;Be aware of your own safety and that of others. Get to know your neighbors and follow any official safety advice.
438;If your friends and family have medical conditions, make sure you know how to help them. Know where to find their medication.
439;Keep a list of local emergency numbers.
440;Know how to get to your local hospital.
441;Learn some simple first aid skills. They are easy to learn and easy to do.
442;During
443;Be willing to try to help other people, even if you feel unsure about what to do.
444;It's better to do something rather than nothing.
445;Try to keep calm by breathing deeply.
446;Take time to think about what is happening.
447;Consider your own safety first.
448;If you can't offer any help yourself, call the emergency services.
449;Don't assume other people will help.
450;Everyone else may be thinking the same thing.
451;Talk to those who need help and listen to what they tell you.
452;Call emergency services if you are unsure what to do.
453;They can advise you while you are waiting for an ambulance.
454;Fire Holiday
455;Thanksgiving is the peak day for cooking fires, 90% of which are caused by unattended cooking.  Take these precautions: - Stay in the kitchen when frying, grilling or broiling food. If you leave even for a short period of time, turn off the stove. - Keep anything that can catch fire (potholders, wooden utensils, food wrappers or towels) away from your stove top. - Have a kid & pet-free zone of at least 3 feet around the stove.
456;Take the quiz
457;Fire
458;Sixty-five percent of home fire deaths occur in homes with no working smoke alarms. During a home fire, working smoke alarms and a fire escape plan that has been practiced regularly can save lives.
459;Before checklist
460;Have and practice escape plans with all household members. Make sure the escape route is always kept clear, and that the door keys are easy to find.
461;Never leave cooking food unattended.
462;Keep objects at least 3 feet from any heat source.
463;Don't smoke anywhere you may fall asleep.
464;During
465;Get out, stay out, and call ###.
466;Call ###
467;If trapped, stay close to the floor, covering your nose and mouth with a wet cloth, if possible.
468;If your clothes are on fire:Â  STOP, DROP, and ROLL
469;Flu
470;As flu outbreaks occur across the country, you can help prevent the spread of the flu virus, by following simple but effective tips: - Cover your mouth and nose with a tissue when you cough or sneeze. If you don't have a tissue, cough or sneeze into your elbow, not your hands - Avoid touching your eyes, nose and mouth - Stay at home if you are sick
471;Flooding
472;Floods are among the most frequent and costly natural disasters caused by heavy or steady rain for several hours or days. Flash floods occur suddenly due to rapidly rising water along a stream or lowÂ­-lying area.
473;Before checklist
474;Be prepared to evacuate to higher ground at a moment's notice with your emergency kit.
475;Buy a battery or hand-crank radio and listen to local area radio or TV stations for possible flood warnings and reports of floods in progress.
476;Check with your local emergency management agency, real-estate agent or insurance agent about whether your property is located in a designated flood plain.
477;Turn off the power and water mains.
478;During
479;Stay away from flood waters. Just six inches of fast-flowing water can knock you over and two feet will float a car.
480;Continue listening to local area radio or TV stations for updates and possible warnings.
481;Floodwater may be contaminated with sewage. Avoid all contact with it.
482;Returning home - before
483;Make sure local authorities have declared your area safe.
484;Find out if local medical facilities are open and if emergency services are functioning again. Do NOT call ### or the local emergency number to do this.
485;Bring cash and supplies such as flashlights, batteries, bottled water and nonÂ­perishable foods in case utilities are out.
486;Returning home - in the home
487;Before entering your home, check for loose power lines, damaged gas lines, foundation cracks or other damage, including sagging ceilings and floors.
488;If you smell natural or propane gas or hear a hissing noise, leave immediately and call the fire department.
489;If power lines are down outside your home, do not step in puddles or standing water.
490;Floodwater may be contaminated with sewage. Avoid contact and dispose of any food that may have come in contact with it.
491;When in doubt, throw it out!
492;Returning home - cleanup
493;Throw out all food, beverages and medicine exposed to flood waters and mud, including canned goods and containers with food or liquid that have been sealed shut.
494;Flu pandemic
495;Be prepared for a flu pandemic with our helpful information about how to prevent spreading illness.
496;Before checklist
497;Wash hands frequently with soap and water or an alcohol-based hand sanitizer.
498;Avoid or minimize contact with sick people (a minimum three feet distancing is recommended).
499;Avoid touching your eyes, nose and mouth.
500;Cover your mouth and nose with tissues when you cough and sneeze. If you don't have a tissue, cough or sneeze into the crook of your elbow.
501;Stay away from others as much as possible when you are sick.
502;Get a flu shot every year. Vaccination is one of the most effective ways to minimize illness and death.
503;During
504;Stay at home.
505;Follow updates provided by local public health authorities and personal health care providers.
506;Flu
507;Food safety
508;Food may not be safe to eat during and after an emergency. Your state or local health department may make specific recommendations for boiling or treating water in your area after a disaster. Watch or listen to your local news for reports on the safety of your water and follow our tips below.
509;How to treat water
510;Boiling water is the safest method for killing harmful bacteria and parasites.
511;Strain water through a clean cloth to remove bulk impurities.
512;Bring water to a rolling boil and let it continue boiling for at least 1 minute.
513;This will kill most organisms, but not chemicals.
514;Let the water cool before drinking it.
515;Boiled water will taste better if you pour it back and forth between two clean containers.
516;If water is contaminated with chemicals, seek another source of water, such as bottled water.
517;If you can't boil water, you can treat it with chlorine tablets, iodine tablets or unscented household chlorine bleach.
518;If you use chlorine tablets or iodine tablets, follow the directions that come with the tablets.
519;To use household chlorine bleach:
520;Use chlorine bleach from a freshly opened bottle. Do not use scented bleaches, color-safe bleaches or bleaches with added cleaners.
521;Mix 1/8 teaspoon (approximately 8 drops) of bleach with a gallon of clear water. For cloudy water, use 1/4 teaspoon (approximately 16 drops) of bleach per gallon.
522;Mix the solution thoroughly and let it stand for about 30 minutes before using it.
523;If the water has a slight scent of chlorine, you can use it. If you can't smell chlorine, discard the water and find another source.
524;Preserve food when the power is out
525;Surround your food with ice in a cooler or in the refrigerator to keep food colder for a longer period of time.
526;Keep refrigerator and freezer doors closed as much as possible, using perishable foods first.
527;An unopened refrigerator will keep foods cold for about 4 hours.
528;Next use food from the freezer.
529;A full freezer will keep the temperature for about 48 hours (24 hours if it is half-full) if the door remains closed.
530;Use your non-perishable foods and staples after using food from the refrigerator and freezer.
531;If it looks like the power outage will continue beyond a day, prepare a cooler with ice for your freezer items.
532;Keep canned or packaged food in a dry, cool spot and keep it covered at all times.
533;If you are not sure a particular perishable food is cold enough, take its temperature with a food thermometer. It should be at 40Â° Fahrenheit (4Â°Celsius) or below.
534;Throw out any perishable foods (meat, poultry, fish, eggs and leftovers) that have been exposed to temperatures over 40Â° Fahrenheit (4Â°Celsius) for 2 hours or more.
535;Also throw out any food with an unusual odor, color or texture or feels warm to the touch.
536;Identify unsafe food
537;Throw away food that may have come in contact with flood or storm water or that has an unusual odor, color or texture.
538;Never taste food to determine its safety.
539;Some foods may look and smell fine, but if they have been at room temperature too long, bacteria that cause foodborne illness may have grown.
540;Some types of bacteria produce toxins that are not destroyed by cooking.
541;Throw away any fully cooked items in the freezer or the refrigerator that have come in contact with raw meat juices.
542;Throw away canned goods that are bulging, opened or damaged.
543;Throw away food containers with removable lids and home-canned goods that have come into contact with floodwater.
544;They cannot be disinfected.
545;Remember: When in doubt, throw it out!
546;Clean and sanitize food contact surfaces
547;Throw away wooden cutting boards, wood or plastic utensils, and baby bottle nipples and pacifiers that have come into contact with floodwater.
548;Use hot, soapy water to thoroughly wash metal pans, ceramic dishes and utensils that have come into contact with floodwater.
549;Sanitize dishes by boiling them in clean or properly treated water or by immersing them for 10 to 15 minutes in a solution of 1 tablespoon of unscented liquid chlorine bleach per gallon of water.
550;Contaminated water
551;Contaminated water should not be used for any purpose.
552;Consider all water from wells, cisterns and other delivery systems in the disaster area to be unsafe until tested.
553;If you use bottled water, make sure it comes from a safe source.
554;If you are unsure where the water came from, boil or treat it first.
555;When the water supply is unsafe:
556;Use your emergency supply of water first.
557;Use water from melted ice cubes made before the disaster occurred.
