;source
17; When Getachew and his friend Birhanu were at the Jimma University Hospital, someone noticed Getachew's cleft lip and mentioned Operation Smile and the March educational mission. After learning about the possibility of surgery, the two friends decided to travel to the mission together.
18;"I knew that mission was the only chance he would ever have to remove his stigmas,"""" Birhanu said. Getachew was screened for surgery and later put on the mission schedule."""
19;"During his initial screening of Getachew, plastic surgeon team leader, Dr. Per Hall, remembered saying, """"We are here to help."""" He stayed true to his word, and Getachew received his safe surgery on the final day of the mission. We couldn\'t be happier to see his results!"""
20; As Operation Smile missions occur simultaneously around the world, we prioritize the time to ensure that all patients are safe and receive complete care. It's a great privilege and joy to perform life-changing surgeries on our incredible patients.
21; ('g', 1
22;FROM EDUCATION PROGRAMS
23;Middle East and North Africa Regional Comprehensive Cleft Care Conference in Amman, Jordan
24;On Friday, March 29, we kicked off the first day of the Middle East and North Africa Regional Comprehensive Cleft Care Conference (MENARC4). We welcomed 169 registered medical professionals from 27 countries, students from 27 countries and 23 speakers representing 11 different countries.
25; MENARC4 is part of a larger program in a bid to improve the strategy of engagement and increase awareness of the organization's work in the country. This larger program included two days of screening potential patients before the conference and three days of surgery afterward.
26;The MENARC4 and medical mission were sponsored by the Argyros foundation in tribute to Vonnie Wray, who was heavily involved in the fundraising and support of programs in Jordan and the Middle East.
27;Day 1:), 2), ('ex', _2), MENARC4 began with an opening ceremony with speeches delivered by the President of Operation Smile Jordan, Mr. Sami Bsaiso, Vice President of the MENA Region, Madame Fouzia Mahmoudi, and our very beloved co-founders Dr. Bill Magee and Kathy Magee. Additional speakers at the event included Operation Smile Jordan board members, dignitaries from the Ministry of Health, Private Hospitals Association and the University of Jordan.
28;Dr. Bill Magee presenting on the history of Operation Smile during the opening ceremony.\n\nSpeakers and conference attendees settling in for the opening ceremony.
29;"The world-renowned Dr. Brian Sommerlad began the scientific portion of the conference by giving a presentation on """"Innovations in Cleft Care."""" Continuing with the theme of a multidisciplinary approach to cleft care, Dr. Sommerlad was followed by a panel discussion where experts in their respective fields of surgery, anesthesia, pediatrics, speech and dentistry spoke about their role in cleft care and held a question-and-answer session. Then, noteworthy speaker Dr. Kenneth E. Salyer blew us away with his experience and expertise in craniofacial surgery."""
30;Left to right: Drs. Domenico Scopelliti, surgeon from Italy  Ahmed Shorrab, anesthesiologist from of the United Arab Emirates  speech language pathologist Nour El-Bashiti of Jordan  Drs. Corinne Poli, dentist from Italy  and Nicole Shilkofski, pediatric intensivist from the U.S. taking questions during the multidisciplinary panel.
31;Dr. Kenneth E. Salyer's outstanding presentation on craniofacial surgery.
32;After lunch, participants moved into two specialty breakout groups: speech, dental and surgery
33;The second breakout track consisted of pre-anesthetic protocols by Dr. Isabelle Simoneau and anesthesia for orthognathic, craniofacial and pediatric maxillofacial surgery by The George Washington University faculty members Drs. Andrew Matisoff and Domiciano Santos. Other topics that were covered in the breakout groups included managing pediatric emergencies and handling complications in the recovery room.
34;Dr. Nicole Shilkofski, pediatric intensivist, and Drs. Matisoff and Santos used case-based models for their presentations, which allowed for a very fun, engaging and educational session for the participants. The first day ended with a large dinner catered by the Regency Palace Hotel.
35;Dr. Isabelle Simoneau speaking on pre-anesthetic protocol for cleft lip and cleft palate during a breakout session.
36;"Day 2:), 2), ('ex', _2), On Saturday, March 30, conference attendees gathered together once more for additional multidisciplinary topics with a special focus on the Jordanian perspective and experience. Dr. Rushdi Amr, whose son was born with a cleft lip, started out the morning with a special presentation on the """"Emotional Aspect"""" of the work that Operation Smile does. He reminded the audience about the importance of reassuring families that cleft conditions are not anyone\'s fault and that there are solutions that will allow their children to live happy and fulfilling lives."""
37;"Dr. Khaldoun Haddadin and Professor Zaid each spoke on the """"Management of Difficult Cleft Cases"""" and """"Orthognathic Surgery in Cleft Patients: A Local Experience."""" Other topics consisted of atypical facial cleft conditions, pain management and secondary cleft lip and nose treatments. The joint sessions concluded with Dr. Justin Gillenwater speaking about establishing a burns priority system, learning how to build a burns mission and performing nonsurgical treatment for burns."""
38;"After lunch, specialty breakout sessions resumed. Anesthesiologists, pediatricians and nurses participated in a difficult airway workshop. Dentists Drs. Pannaci, Rula Sabbagh and local orthodontist Dr. Iyad Al-Omari led a """"Nasoalveolar Molding"""" and """"Functional Maxillary Orthopedics"""" workshop. Speech language pathologists Nour El-Bashiti and Fulvia Aceti led didactic sessions and case-based presentations for speech attendees. Surgeons also participated in a highly engaging """"Cleft Palate Simulation Workshop,"""" conducted in partnership with Simulare Medical."""
39;Len Wechsler, CEO of Simulare Medical, was present during the sessions to ensure that all supplies â€” including models, instruments, headlamps and training materials â€” were sufficient and that the setup met the learning objectives of the simulation-based training. While Drs. Sommerlad and Haddadin demonstrated surgical procedures on the big screen, Drs. Chong, Scopelliti and Marzouq Amarin were joined by Professor Dr. Mohamed El-Shazly in walking around the room providing feedback to smaller groups.
40;During the cleft simulation workshop, Dr. Brian Sommerlad demonstrated step-by-step techniques so that attendees could watch and follow along.
41;Dr. David Chong advising David Mendietta of Nicaragua, left, Maria Daniela Viamonte of Venezuela, right, and Francisco Rosado of the Dominican Republic, sitting.
42;Martin Kamau, left, and Kennedy Koech, right, practicing on the Simulare cleft models provided by Len Wechsler, CEO of Simulare Medical.
43;Len Wechsler speaking about the cleft simulation models with a group of volunteers who visited his exhibition table.
44;The second day of the conference ended with a beautiful closing ceremony. To begin the event, Bill offered closing remarks to celebrate the success of the conference as well as highlight the Vonnie Wray Initiative by Kathy. In a bid to recognize the immense time, commitment and hard work of all stakeholders, Bill, Kathy and Sami presented awards to the Operation Smile Jordan staff, the vice president of the MENA region and event speakers â€” all of whom were instrumental in ensuring the success of this conference.
45;Left to right: Drs. David Chong of Australia, Kenneth E. Salyer of the U.S., Bill Magee of the U.S. and Domenico Scopelliti of Italy.
46;FROM STUDENT PROGRAMS
47;Photo: Bethany Bogacki
48;Meet a Smile Hero
49;Whether he's running across the soccer field or running the show during his Operation Smile club's presentation, Brandon Prater is always on the move.
50;I don\'t let my surgeries stop me from doing anything I like to do, said Brandon, who was born with a cleft lip and cleft palate. The 10-year-old has had 36 surgeries to treat those conditions.
51;After months of going the extra mile for Operation Smile's patients â€” he's been fundraising to help even more children get the surgery they need â€” Brandon ran the Shamrock Operation Smile Final Mile with 5,000 of his peers at the Virginia Beach Oceanfront in March.
52; Operation Smile advocates like Brandon, who raised money and awareness for the cause, sported a special Smile Hero cape during the race as part of a new Final Mile initiative by Operation Smile Student Programs. It costs as little as $240 to provide life-changing surgery for a child with a cleft condition. So, every student who makes a new smile possible during the lead-up to next year's race will receive a special Smile Hero cape to wear as they finish the Final Mile.
53;Photo courtesy of Nicole Gould
54;Stitches Making a Difference
55;Hundreds of children around the U.S. had a surgery-companion doll by their side as they entered operating rooms thanks to 11-year-old dollmaker Charlotte Gould and her business, Stitches by Charlotte.
56;"I wanted to take away the scary part of it because surgeries are really, really scary,"""" said Charlotte, who\'s had five surgeries to treat her cleft conditions.I just really needed something that made a difference and let these kids know that they are not alone, that I have been there, too."
57; With Stitches by Charlotte teaming up with Operation Smile, even more children around the world will be comforted by the young entrepreneur's handiwork. .
58;Photo: Laura Gonzalez
59;Medical Mission Roundup
60;"Guadalajara, Mexico:), 2), ('ex', _2), Flo Pun of California and Gabriela Cruz of Ohio took our cause to heart and taught many people to perform hands-only CPR in February.\n\n""""Helping others is important to me, which is one reason I think teaching the patients and their families health modules such as hands-only CPR is so important,"""" Flo said. """"Through our training modules, we could help save a life one day."
61;Cebu, Philippines:), 2), ('ex', _2), The student team hit the road and taught health care to the students of the YLAC school as well as the St. Martin de Porras Special School.\n\nDuring medical missions, high school students serve as health care educators
62;Photo: Carlos Rueda
63;Dominican Republic:), 2), ('ex', _2), We are sending a huge thanks to Brock Lugo and Nick Ciuffreda for teaching the fundamentals of health care to the children at the medical mission.\n\nAhead of the medical mission, these student health care educators prepared posters for their lessons on nutrition, oral hygiene, hand-washing and more.
64;FROM PUBLIC RELATIONS
65;"We\'re very excited to share the link to an interview Dr. Bill Magee recently did for a new podcast called """"Warrior Wednesday."
66; 1), ('g' American Ninja Warrior), ('ex', _1), Hosted weekly by Matt Isemann, host of the NBC show , the show highlights stories of courageous people making a difference every day. Bill and Matt had a 20-minute conversation about the founding of Operation Smile and about taking risks and finding success. The interview also included a $250 donation made to Operation Smile.
67; Here's the link on YouTube
68;VOLUNTEER SPOTLIGHT
69;My Only Way to Give Back
70;"Dr. Emmanuella """"Ella"""" Amoako has established herself as a dynamic young leader on the front line of Ghanaian pediatrics. When Operation Smile arrived at the hospital where she was working, Ella took the opportunity to observe the medical mission and its incredible team of devoted volunteers.\n\nAfter witnessing the life-changing transformations, her life changed as well. ."""
